Policy ID,Insurance Provider,Policy Name,Coverage Type,Premium Amount (Annual),Coverage Details,Eligibility Criteria,Network Hospitals,Claim Settlement Ratio (%),Waiting Period,Exclusions,Additional Benefits,Category
POL1688,MetLife,Family Protect,Individual,30312,Full Coverage,"18-60 years, No pre-existing conditions",128,92.57,3 months,Pre-existing conditions (2 years),Discounted Medicines,Critical Illness
POL1689,MetLife,Comprehensive Plus,Family,43404,Full Coverage,"60+ years, Medical Checkup Required",68,97.67,1 year,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL1690,Cigna,Critical Guard,Senior Citizen,15369,"Hospitalization, OPD","60+ years, Medical Checkup Required",177,77.41,2 years,Dental & Vision,Discounted Medicines,Critical Illness
POL1691,UnitedHealth,Family Protect,Corporate,48712,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",192,74.21,3 months,Maternity Benefits,Fitness Membership,Corporate
POL1692,Aetna,Corporate Shield,Senior Citizen,27657,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",451,80.12,6 months,Dental & Vision,Discounted Medicines,Corporate
POL1693,Aetna,Corporate Shield,Senior Citizen,49354,"Critical Illness, Surgery","Employed, Company-sponsored",128,87.14,1 year,Dental & Vision,Free Annual Checkup,Critical Illness
POL1694,UnitedHealth,Corporate Shield,Corporate,21324,"Hospitalization, OPD","18-60 years, No pre-existing conditions",105,86.01,6 months,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL1695,UnitedHealth,Corporate Shield,Family,14792,"Hospitalization, OPD","60+ years, Medical Checkup Required",132,89.6,1 month,Cosmetic Surgery,Discounted Medicines,Critical Illness
POL1696,MetLife,Corporate Shield,Family,6201,"Hospitalization, OPD","18-60 years, No pre-existing conditions",498,74.56,1 year,Pre-existing conditions (2 years),Free Annual Checkup,Children
POL1697,Humana,Family Protect,Family,21916,"Critical Illness, Surgery","Employed, Company-sponsored",490,91.17,2 years,Pre-existing conditions (2 years),Fitness Membership,Critical Illness
POL1698,Aetna,Comprehensive Plus,Corporate,19206,"Critical Illness, Surgery","60+ years, Medical Checkup Required",183,83.45,1 year,Dental & Vision,24/7 Teleconsultation,Corporate
POL1699,Aetna,Comprehensive Plus,Senior Citizen,27044,"Maternity, Vision, Dental","Employed, Company-sponsored",51,81.23,1 month,Pre-existing conditions (2 years),Fitness Membership,Seniors
POL1700,Aetna,Critical Guard,Senior Citizen,18751,Full Coverage,"Self-employed, Tax Benefits",85,71.49,3 months,Maternity Benefits,24/7 Teleconsultation,Seniors
POL1701,Cigna,Senior Secure,Family,16700,"Maternity, Vision, Dental","Self-employed, Tax Benefits",168,96.0,2 years,Pre-existing conditions (2 years),Free Annual Checkup,Children
POL1702,Humana,Basic Care,Corporate,47749,"Critical Illness, Surgery","60+ years, Medical Checkup Required",334,79.46,6 months,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL1703,Humana,Comprehensive Plus,Senior Citizen,10139,Full Coverage,"60+ years, Medical Checkup Required",402,70.1,1 month,Dental & Vision,24/7 Teleconsultation,Critical Illness
POL1704,MetLife,Comprehensive Plus,Individual,14783,"Hospitalization, OPD","18-60 years, No pre-existing conditions",130,92.01,1 year,Pre-existing conditions (2 years),Free Annual Checkup,Adults
POL1705,Cigna,Comprehensive Plus,Senior Citizen,8364,"Maternity, Vision, Dental","Employed, Company-sponsored",331,74.89,6 months,Maternity Benefits,Fitness Membership,Seniors
POL1706,MetLife,Basic Care,Senior Citizen,23259,"Maternity, Vision, Dental","Self-employed, Tax Benefits",437,92.05,3 months,Pre-existing conditions (2 years),Fitness Membership,Children
POL1707,Humana,Family Protect,Family,15918,"Critical Illness, Surgery","60+ years, Medical Checkup Required",66,85.78,6 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Adults
POL1708,Aetna,Family Protect,Senior Citizen,13375,"Hospitalization, OPD","60+ years, Medical Checkup Required",465,79.81,2 years,Maternity Benefits,Fitness Membership,Children
POL1709,MetLife,Comprehensive Plus,Family,19696,"Critical Illness, Surgery","Self-employed, Tax Benefits",359,89.62,1 month,Pre-existing conditions (2 years),24/7 Teleconsultation,Critical Illness
POL1710,Kaiser Permanente,Senior Secure,Family,15909,"Critical Illness, Surgery","Employed, Company-sponsored",289,90.26,2 years,Cosmetic Surgery,Fitness Membership,Seniors
POL1711,MetLife,Senior Secure,Individual,11063,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",348,92.77,1 month,Cosmetic Surgery,Free Annual Checkup,Children
POL1712,Humana,Critical Guard,Corporate,42942,"Maternity, Vision, Dental","Self-employed, Tax Benefits",420,78.92,3 months,Cosmetic Surgery,Discounted Medicines,Adults
POL1713,Kaiser Permanente,Corporate Shield,Individual,17048,"Critical Illness, Surgery","Employed, Company-sponsored",313,90.38,6 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Seniors
POL1714,Cigna,Senior Secure,Corporate,16582,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",277,96.51,1 year,Cosmetic Surgery,Discounted Medicines,Adults
POL1715,UnitedHealth,Critical Guard,Individual,12672,"Critical Illness, Surgery","60+ years, Medical Checkup Required",264,84.78,1 year,Cosmetic Surgery,24/7 Teleconsultation,Adults
POL1716,Kaiser Permanente,Family Protect,Corporate,12822,"Maternity, Vision, Dental","Self-employed, Tax Benefits",478,80.95,6 months,Cosmetic Surgery,Fitness Membership,Children
POL1717,Blue Cross,Senior Secure,Senior Citizen,42562,"Hospitalization, OPD","Self-employed, Tax Benefits",119,93.34,1 year,Maternity Benefits,Fitness Membership,Adults
POL1718,Kaiser Permanente,Senior Secure,Senior Citizen,23281,Full Coverage,"Employed, Company-sponsored",358,71.05,3 months,Pre-existing conditions (2 years),Discounted Medicines,Children
POL1719,Cigna,Critical Guard,Corporate,45200,"Critical Illness, Surgery","60+ years, Medical Checkup Required",317,92.15,6 months,Cosmetic Surgery,24/7 Teleconsultation,Corporate
POL1720,Kaiser Permanente,Family Protect,Individual,6893,"Hospitalization, OPD","18-60 years, No pre-existing conditions",188,96.84,1 year,Dental & Vision,24/7 Teleconsultation,Children
POL1721,Humana,Critical Guard,Senior Citizen,49179,"Hospitalization, OPD","60+ years, Medical Checkup Required",367,91.65,1 year,Cosmetic Surgery,Free Annual Checkup,Critical Illness
POL1722,Kaiser Permanente,Comprehensive Plus,Family,6960,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",152,73.11,1 month,Cosmetic Surgery,24/7 Teleconsultation,Children
POL1723,MetLife,Corporate Shield,Senior Citizen,23976,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",477,80.54,1 month,Pre-existing conditions (2 years),24/7 Teleconsultation,Corporate
POL1724,Cigna,Basic Care,Corporate,11748,"Hospitalization, OPD","Self-employed, Tax Benefits",123,90.1,2 years,Pre-existing conditions (2 years),24/7 Teleconsultation,Adults
POL1725,UnitedHealth,Corporate Shield,Senior Citizen,6520,"Hospitalization, OPD","Self-employed, Tax Benefits",500,77.17,3 months,Maternity Benefits,Free Annual Checkup,Seniors
POL1726,Blue Cross,Basic Care,Senior Citizen,36910,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",124,91.88,3 months,Maternity Benefits,Free Annual Checkup,Adults
POL1727,Kaiser Permanente,Family Protect,Corporate,38634,Full Coverage,"Self-employed, Tax Benefits",163,83.95,3 months,Dental & Vision,Discounted Medicines,Corporate
POL1728,Kaiser Permanente,Critical Guard,Individual,13519,"Hospitalization, OPD","18-60 years, No pre-existing conditions",107,82.52,2 years,Pre-existing conditions (2 years),Discounted Medicines,Children
POL1729,Cigna,Family Protect,Individual,22793,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",116,72.03,1 year,Pre-existing conditions (2 years),Fitness Membership,Seniors
POL1730,MetLife,Basic Care,Individual,41613,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",108,79.23,3 months,Cosmetic Surgery,Free Annual Checkup,Corporate
POL1731,Blue Cross,Senior Secure,Senior Citizen,49942,"Critical Illness, Surgery","Employed, Company-sponsored",206,79.65,3 months,Dental & Vision,Fitness Membership,Children
POL1732,Blue Cross,Comprehensive Plus,Senior Citizen,11762,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",173,92.29,1 year,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL1733,Blue Cross,Senior Secure,Individual,24658,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",376,75.2,2 years,Cosmetic Surgery,Free Annual Checkup,Corporate
POL1734,Humana,Comprehensive Plus,Individual,45744,"Maternity, Vision, Dental","Employed, Company-sponsored",103,87.67,3 months,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL1735,UnitedHealth,Senior Secure,Family,49204,Full Coverage,"60+ years, Medical Checkup Required",453,87.75,6 months,Pre-existing conditions (2 years),Free Annual Checkup,Adults
POL1736,Blue Cross,Comprehensive Plus,Senior Citizen,37615,Full Coverage,"18-60 years, No pre-existing conditions",469,76.1,1 month,Dental & Vision,Discounted Medicines,Seniors
POL1737,Kaiser Permanente,Senior Secure,Individual,5636,"Critical Illness, Surgery","60+ years, Medical Checkup Required",253,79.44,6 months,Dental & Vision,24/7 Teleconsultation,Seniors
POL1738,Cigna,Family Protect,Corporate,30277,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",96,78.15,2 years,Pre-existing conditions (2 years),Free Annual Checkup,Adults
POL1739,Aetna,Comprehensive Plus,Individual,34339,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",195,76.06,6 months,Maternity Benefits,Fitness Membership,Children
POL1740,MetLife,Comprehensive Plus,Family,13487,"Critical Illness, Surgery","60+ years, Medical Checkup Required",142,79.21,6 months,Dental & Vision,24/7 Teleconsultation,Critical Illness
POL1741,Humana,Senior Secure,Individual,41342,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",117,77.48,6 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Children
POL1742,Kaiser Permanente,Comprehensive Plus,Individual,48327,"Maternity, Vision, Dental","Employed, Company-sponsored",346,88.62,6 months,Maternity Benefits,Fitness Membership,Critical Illness
POL1743,Cigna,Critical Guard,Individual,9633,Full Coverage,"18-60 years, No pre-existing conditions",378,92.38,2 years,Dental & Vision,24/7 Teleconsultation,Critical Illness
POL1744,Aetna,Comprehensive Plus,Corporate,8176,"Critical Illness, Surgery","Self-employed, Tax Benefits",220,97.7,2 years,Dental & Vision,Fitness Membership,Critical Illness
POL1745,Humana,Family Protect,Individual,28806,Full Coverage,"60+ years, Medical Checkup Required",363,73.63,6 months,Dental & Vision,Free Annual Checkup,Corporate
POL1746,Kaiser Permanente,Critical Guard,Family,10046,"Critical Illness, Surgery","Self-employed, Tax Benefits",322,74.97,3 months,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL1747,Blue Cross,Critical Guard,Senior Citizen,22546,"Critical Illness, Surgery","60+ years, Medical Checkup Required",234,71.27,2 years,Dental & Vision,Free Annual Checkup,Children
POL1748,Humana,Basic Care,Family,7454,"Critical Illness, Surgery","Self-employed, Tax Benefits",419,82.62,2 years,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL1749,Blue Cross,Critical Guard,Senior Citizen,10453,Full Coverage,"Self-employed, Tax Benefits",338,82.21,3 months,Dental & Vision,Fitness Membership,Children
POL1750,Kaiser Permanente,Family Protect,Family,43457,"Hospitalization, OPD","18-60 years, No pre-existing conditions",280,88.32,3 months,Pre-existing conditions (2 years),Discounted Medicines,Corporate
POL1751,Humana,Basic Care,Senior Citizen,12192,"Critical Illness, Surgery","Self-employed, Tax Benefits",413,91.06,2 years,Cosmetic Surgery,Free Annual Checkup,Children
POL1752,Blue Cross,Corporate Shield,Individual,32676,"Hospitalization, OPD","Employed, Company-sponsored",413,83.19,3 months,Dental & Vision,Free Annual Checkup,Adults
POL1753,Humana,Corporate Shield,Individual,25000,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",360,88.17,1 month,Dental & Vision,Discounted Medicines,Seniors
POL1754,Cigna,Basic Care,Corporate,32459,"Critical Illness, Surgery","Self-employed, Tax Benefits",433,74.92,1 month,Dental & Vision,24/7 Teleconsultation,Critical Illness
POL1755,UnitedHealth,Critical Guard,Corporate,21711,"Hospitalization, OPD","Self-employed, Tax Benefits",444,96.13,1 year,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL1756,Humana,Comprehensive Plus,Family,47158,"Maternity, Vision, Dental","Employed, Company-sponsored",152,83.13,6 months,Cosmetic Surgery,Discounted Medicines,Adults
POL1757,Cigna,Basic Care,Individual,43710,Full Coverage,"60+ years, Medical Checkup Required",327,88.2,1 year,Cosmetic Surgery,Fitness Membership,Corporate
POL1758,Humana,Basic Care,Family,45615,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",82,87.31,2 years,Dental & Vision,Fitness Membership,Adults
POL1759,Kaiser Permanente,Basic Care,Senior Citizen,17824,"Hospitalization, OPD","60+ years, Medical Checkup Required",203,73.63,6 months,Cosmetic Surgery,Free Annual Checkup,Seniors
POL1760,Humana,Corporate Shield,Senior Citizen,13992,Full Coverage,"60+ years, Medical Checkup Required",151,80.85,2 years,Dental & Vision,Free Annual Checkup,Critical Illness
POL1761,MetLife,Corporate Shield,Corporate,49647,"Maternity, Vision, Dental","Self-employed, Tax Benefits",407,77.05,2 years,Dental & Vision,24/7 Teleconsultation,Seniors
POL1762,MetLife,Critical Guard,Individual,38081,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",385,87.96,1 month,Dental & Vision,Discounted Medicines,Adults
POL1763,Kaiser Permanente,Comprehensive Plus,Family,9624,"Critical Illness, Surgery","Self-employed, Tax Benefits",405,71.75,1 year,Maternity Benefits,Fitness Membership,Children
POL1764,Blue Cross,Senior Secure,Corporate,9957,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",236,72.18,6 months,Dental & Vision,Free Annual Checkup,Corporate
POL1765,Kaiser Permanente,Comprehensive Plus,Family,21631,"Maternity, Vision, Dental","Self-employed, Tax Benefits",461,70.65,1 month,Cosmetic Surgery,24/7 Teleconsultation,Adults
POL1766,Cigna,Comprehensive Plus,Senior Citizen,15036,"Hospitalization, OPD","Self-employed, Tax Benefits",374,94.05,2 years,Dental & Vision,24/7 Teleconsultation,Critical Illness
POL1767,Humana,Family Protect,Senior Citizen,49546,"Hospitalization, OPD","Employed, Company-sponsored",395,92.57,3 months,Maternity Benefits,24/7 Teleconsultation,Children
POL1768,Humana,Family Protect,Family,19034,"Maternity, Vision, Dental","Self-employed, Tax Benefits",232,93.63,2 years,Cosmetic Surgery,Free Annual Checkup,Critical Illness
POL1769,Humana,Corporate Shield,Senior Citizen,20280,"Hospitalization, OPD","18-60 years, No pre-existing conditions",463,96.52,1 month,Pre-existing conditions (2 years),Fitness Membership,Children
POL1770,UnitedHealth,Family Protect,Family,33964,"Critical Illness, Surgery","Self-employed, Tax Benefits",134,79.17,2 years,Cosmetic Surgery,Free Annual Checkup,Corporate
POL1771,Kaiser Permanente,Comprehensive Plus,Corporate,23855,"Hospitalization, OPD","Self-employed, Tax Benefits",315,82.46,1 month,Pre-existing conditions (2 years),24/7 Teleconsultation,Seniors
POL1772,MetLife,Family Protect,Family,21473,Full Coverage,"Employed, Company-sponsored",306,78.91,1 year,Dental & Vision,24/7 Teleconsultation,Critical Illness
POL1773,Blue Cross,Family Protect,Individual,21078,"Maternity, Vision, Dental","Self-employed, Tax Benefits",263,82.48,6 months,Pre-existing conditions (2 years),Discounted Medicines,Critical Illness
POL1774,Blue Cross,Family Protect,Family,30245,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",135,73.22,6 months,Maternity Benefits,Discounted Medicines,Adults
POL1775,Cigna,Basic Care,Senior Citizen,8509,Full Coverage,"18-60 years, No pre-existing conditions",422,70.93,2 years,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL1776,Aetna,Comprehensive Plus,Family,40512,"Maternity, Vision, Dental","Self-employed, Tax Benefits",290,82.45,3 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Seniors
POL1777,Aetna,Basic Care,Senior Citizen,25821,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",167,91.65,1 month,Maternity Benefits,Discounted Medicines,Children
POL1778,Kaiser Permanente,Basic Care,Individual,39468,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",72,74.41,1 year,Pre-existing conditions (2 years),Fitness Membership,Adults
POL1779,Humana,Corporate Shield,Corporate,48566,"Hospitalization, OPD","18-60 years, No pre-existing conditions",424,78.3,2 years,Maternity Benefits,Discounted Medicines,Seniors
POL1780,Humana,Family Protect,Senior Citizen,8026,"Hospitalization, OPD","Employed, Company-sponsored",426,83.47,3 months,Dental & Vision,24/7 Teleconsultation,Seniors
POL1781,Blue Cross,Corporate Shield,Family,29592,Full Coverage,"Self-employed, Tax Benefits",463,91.04,1 month,Maternity Benefits,Discounted Medicines,Corporate
POL1782,Cigna,Corporate Shield,Corporate,28512,"Hospitalization, OPD","60+ years, Medical Checkup Required",240,86.4,3 months,Cosmetic Surgery,Free Annual Checkup,Adults
POL1783,Humana,Comprehensive Plus,Senior Citizen,44938,"Hospitalization, OPD","60+ years, Medical Checkup Required",307,84.14,1 month,Maternity Benefits,Fitness Membership,Critical Illness
POL1784,Blue Cross,Basic Care,Family,49510,"Critical Illness, Surgery","Self-employed, Tax Benefits",126,87.47,3 months,Maternity Benefits,Discounted Medicines,Adults
POL1785,Humana,Corporate Shield,Corporate,16903,"Critical Illness, Surgery","Self-employed, Tax Benefits",131,80.23,3 months,Dental & Vision,Free Annual Checkup,Critical Illness
POL1786,MetLife,Senior Secure,Individual,7771,"Critical Illness, Surgery","Employed, Company-sponsored",381,76.22,1 month,Dental & Vision,24/7 Teleconsultation,Seniors
POL1787,Blue Cross,Basic Care,Senior Citizen,44249,"Hospitalization, OPD","18-60 years, No pre-existing conditions",471,85.71,1 year,Cosmetic Surgery,Free Annual Checkup,Adults
POL1788,Humana,Senior Secure,Senior Citizen,28940,Full Coverage,"60+ years, Medical Checkup Required",351,91.61,2 years,Cosmetic Surgery,Free Annual Checkup,Children
POL1789,MetLife,Critical Guard,Individual,12529,"Critical Illness, Surgery","60+ years, Medical Checkup Required",238,73.19,1 year,Dental & Vision,24/7 Teleconsultation,Children
POL1790,MetLife,Senior Secure,Family,23289,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",267,73.28,1 month,Dental & Vision,Fitness Membership,Critical Illness
POL1791,Humana,Family Protect,Individual,30684,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",117,75.48,3 months,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL1792,MetLife,Senior Secure,Corporate,32498,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",108,96.79,1 year,Maternity Benefits,Discounted Medicines,Adults
POL1793,Blue Cross,Corporate Shield,Senior Citizen,34156,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",142,94.68,3 months,Pre-existing conditions (2 years),Discounted Medicines,Critical Illness
POL1794,Kaiser Permanente,Senior Secure,Family,12128,"Critical Illness, Surgery","60+ years, Medical Checkup Required",203,78.25,1 year,Cosmetic Surgery,Free Annual Checkup,Critical Illness
POL1795,UnitedHealth,Corporate Shield,Family,24343,"Critical Illness, Surgery","60+ years, Medical Checkup Required",132,78.53,1 year,Cosmetic Surgery,Fitness Membership,Children
POL1796,Aetna,Senior Secure,Corporate,16796,"Hospitalization, OPD","Employed, Company-sponsored",374,82.82,2 years,Dental & Vision,24/7 Teleconsultation,Adults
POL1797,Humana,Critical Guard,Individual,29123,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",375,90.99,3 months,Cosmetic Surgery,Discounted Medicines,Seniors
POL1798,Cigna,Basic Care,Senior Citizen,21522,"Hospitalization, OPD","60+ years, Medical Checkup Required",392,89.48,1 year,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL1799,Aetna,Critical Guard,Individual,35215,"Hospitalization, OPD","60+ years, Medical Checkup Required",102,80.11,2 years,Dental & Vision,Free Annual Checkup,Adults
POL1800,Kaiser Permanente,Senior Secure,Corporate,41729,"Critical Illness, Surgery","Employed, Company-sponsored",315,73.18,3 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Critical Illness
POL1801,Cigna,Senior Secure,Individual,49209,Full Coverage,"60+ years, Medical Checkup Required",419,83.06,1 year,Cosmetic Surgery,Fitness Membership,Seniors
POL1802,MetLife,Basic Care,Family,39844,"Hospitalization, OPD","Employed, Company-sponsored",364,94.13,2 years,Pre-existing conditions (2 years),Free Annual Checkup,Seniors
POL1803,Blue Cross,Senior Secure,Senior Citizen,21237,Full Coverage,"Self-employed, Tax Benefits",161,70.1,1 month,Maternity Benefits,Fitness Membership,Children
POL1804,Blue Cross,Basic Care,Individual,23968,"Hospitalization, OPD","Self-employed, Tax Benefits",227,97.04,1 year,Dental & Vision,Fitness Membership,Adults
POL1805,Cigna,Critical Guard,Individual,18487,"Maternity, Vision, Dental","Self-employed, Tax Benefits",103,73.59,3 months,Cosmetic Surgery,24/7 Teleconsultation,Corporate
POL1806,Cigna,Senior Secure,Individual,7977,"Critical Illness, Surgery","Self-employed, Tax Benefits",343,90.56,3 months,Maternity Benefits,Fitness Membership,Children
POL1807,Kaiser Permanente,Family Protect,Senior Citizen,47421,"Maternity, Vision, Dental","Employed, Company-sponsored",253,96.58,2 years,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL1808,Aetna,Basic Care,Senior Citizen,12761,"Critical Illness, Surgery","60+ years, Medical Checkup Required",430,95.82,6 months,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL1809,Blue Cross,Corporate Shield,Corporate,41664,"Critical Illness, Surgery","60+ years, Medical Checkup Required",401,96.0,1 year,Cosmetic Surgery,Discounted Medicines,Children
POL1810,Cigna,Corporate Shield,Corporate,46174,"Hospitalization, OPD","Employed, Company-sponsored",69,87.8,6 months,Cosmetic Surgery,Free Annual Checkup,Seniors
POL1811,UnitedHealth,Corporate Shield,Corporate,22824,Full Coverage,"Self-employed, Tax Benefits",295,90.48,6 months,Maternity Benefits,Free Annual Checkup,Children
POL1812,UnitedHealth,Comprehensive Plus,Family,45319,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",218,81.32,1 month,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL1813,MetLife,Critical Guard,Individual,12351,"Hospitalization, OPD","Self-employed, Tax Benefits",194,87.8,1 year,Dental & Vision,24/7 Teleconsultation,Critical Illness
POL1814,UnitedHealth,Senior Secure,Family,22294,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",370,93.14,3 months,Dental & Vision,Fitness Membership,Seniors
POL1815,Aetna,Comprehensive Plus,Individual,43276,"Maternity, Vision, Dental","Self-employed, Tax Benefits",451,75.34,3 months,Pre-existing conditions (2 years),Fitness Membership,Children
POL1816,Aetna,Family Protect,Individual,49227,"Critical Illness, Surgery","Self-employed, Tax Benefits",376,88.99,2 years,Pre-existing conditions (2 years),Fitness Membership,Corporate
POL1817,UnitedHealth,Comprehensive Plus,Individual,24399,Full Coverage,"Employed, Company-sponsored",281,90.89,6 months,Cosmetic Surgery,Free Annual Checkup,Children
POL1818,Aetna,Corporate Shield,Family,41196,"Hospitalization, OPD","Self-employed, Tax Benefits",433,77.0,1 year,Maternity Benefits,24/7 Teleconsultation,Corporate
POL1819,Blue Cross,Family Protect,Senior Citizen,18825,"Hospitalization, OPD","60+ years, Medical Checkup Required",99,90.68,3 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Children
POL1820,Cigna,Family Protect,Corporate,13234,"Hospitalization, OPD","Self-employed, Tax Benefits",280,97.22,1 month,Dental & Vision,24/7 Teleconsultation,Corporate
POL1821,MetLife,Senior Secure,Senior Citizen,22395,"Hospitalization, OPD","60+ years, Medical Checkup Required",64,87.76,2 years,Dental & Vision,Free Annual Checkup,Critical Illness
POL1822,Kaiser Permanente,Senior Secure,Family,22381,"Critical Illness, Surgery","Employed, Company-sponsored",224,79.11,6 months,Maternity Benefits,Fitness Membership,Corporate
POL1823,UnitedHealth,Basic Care,Senior Citizen,28501,"Hospitalization, OPD","Self-employed, Tax Benefits",437,70.94,6 months,Cosmetic Surgery,Fitness Membership,Corporate
POL1824,Cigna,Basic Care,Individual,23872,"Critical Illness, Surgery","60+ years, Medical Checkup Required",305,87.33,1 month,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL1825,Humana,Corporate Shield,Senior Citizen,37544,"Maternity, Vision, Dental","Employed, Company-sponsored",51,93.48,1 year,Pre-existing conditions (2 years),Discounted Medicines,Critical Illness
POL1826,Cigna,Family Protect,Senior Citizen,10609,"Hospitalization, OPD","Employed, Company-sponsored",66,82.84,2 years,Pre-existing conditions (2 years),24/7 Teleconsultation,Critical Illness
POL1827,UnitedHealth,Critical Guard,Individual,6456,"Maternity, Vision, Dental","Employed, Company-sponsored",206,91.67,1 year,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL1828,Kaiser Permanente,Family Protect,Individual,37866,"Hospitalization, OPD","60+ years, Medical Checkup Required",398,94.93,6 months,Maternity Benefits,Discounted Medicines,Corporate
POL1829,MetLife,Senior Secure,Family,49932,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",459,96.52,3 months,Dental & Vision,24/7 Teleconsultation,Corporate
POL1830,UnitedHealth,Family Protect,Corporate,29982,"Critical Illness, Surgery","Self-employed, Tax Benefits",479,74.36,6 months,Pre-existing conditions (2 years),Discounted Medicines,Corporate
POL1831,UnitedHealth,Basic Care,Individual,24711,Full Coverage,"Employed, Company-sponsored",353,81.65,6 months,Maternity Benefits,24/7 Teleconsultation,Seniors
POL1832,MetLife,Comprehensive Plus,Senior Citizen,31425,Full Coverage,"Employed, Company-sponsored",111,87.39,1 month,Maternity Benefits,Discounted Medicines,Corporate
POL1833,Cigna,Senior Secure,Individual,49233,Full Coverage,"Self-employed, Tax Benefits",398,85.39,2 years,Maternity Benefits,24/7 Teleconsultation,Children
POL1834,Cigna,Corporate Shield,Senior Citizen,13896,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",75,79.39,1 month,Pre-existing conditions (2 years),24/7 Teleconsultation,Corporate
POL1835,Blue Cross,Comprehensive Plus,Family,37570,"Hospitalization, OPD","Self-employed, Tax Benefits",257,80.07,2 years,Maternity Benefits,Discounted Medicines,Corporate
POL1836,Humana,Basic Care,Senior Citizen,32961,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",122,90.49,1 month,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL1837,Cigna,Critical Guard,Senior Citizen,34445,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",448,83.7,6 months,Dental & Vision,Fitness Membership,Seniors
POL1838,MetLife,Corporate Shield,Senior Citizen,35011,"Critical Illness, Surgery","Self-employed, Tax Benefits",176,91.33,6 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Children
POL1839,Cigna,Senior Secure,Corporate,27544,"Hospitalization, OPD","Self-employed, Tax Benefits",73,70.1,1 year,Cosmetic Surgery,Fitness Membership,Adults
POL1840,Cigna,Senior Secure,Family,27818,"Hospitalization, OPD","Self-employed, Tax Benefits",310,97.3,1 year,Dental & Vision,Free Annual Checkup,Children
POL1841,UnitedHealth,Corporate Shield,Family,20709,Full Coverage,"18-60 years, No pre-existing conditions",225,92.64,2 years,Maternity Benefits,24/7 Teleconsultation,Seniors
POL1842,UnitedHealth,Senior Secure,Senior Citizen,7971,Full Coverage,"Self-employed, Tax Benefits",446,70.32,6 months,Cosmetic Surgery,Discounted Medicines,Children
POL1843,MetLife,Basic Care,Family,28896,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",308,83.31,1 year,Pre-existing conditions (2 years),24/7 Teleconsultation,Children
